No Decimal Found,
65.645423,24.932294
61.874339,24.810737
67.332577,23.857055
60.667268,23.062784
63.821743,23.441343
60.756803,23.051799
62.514582,21.848311
65.731932,24.707315
61.162558,23.977377
60.25051,24.378092
61.249144,21.683812
63.236738,27.493994
64.843819,25.415673
60.25051,24.378092
62.22632,24.400524
62.826623,23.169446
60.420712,21.774479
60.050454,23.495916
60.712962,21.772858
62.043342,24.224934
61.254328,25.413101
60.713815,25.256622
60.632902,27.819117
62.235926,24.976968
61.478416,23.14849
63.118845,29.870496
63.056492,27.688672
62.624257,22.415012
61.341717,25.221808
67.703126,29.475414
60.951029,23.581933
60.238713,23.837145
61.544624,22.38697
63.757095,29.326922
62.235926,24.976968
60.723604,26.355587
63.580926,29.111077
60.725125,27.088506
64.832454,24.573386
63.045761,28.874526
62.581053,24.174883
59.945568,22.969673
60.985286,28.567181
63.757095,29.326922
60.16085,24.385242
60.787522,21.392632
60.881612,24.510677
61.684832,24.257196
66.461671,25.762407
62.235926,24.976968
60.798237,24.884617
62.826623,23.169446
63.680191,28.309998
60.695029,24.158786
64.832454,24.573386
62.132965,24.216732
60.973733,21.54489
62.737103,23.181066
66.735232,27.33628
59.976003,21.351324
62.857406,29.451915
62.789743,21.996576
63.757095,29.326922
65.834128,28.199809
60.601401,23.984366
62.235926,24.976968
62.246614,25.938469
61.52739,28.218467
65.834128,28.199809
63.147027,27.492468
60.899287,25.799303
66.549379,25.532908
62.514582,21.848311
62.693296,21.81717
61.688613,29.547669
62.693296,21.81717
62.670665,24.166341
66.549379,25.532908
61.667633,23.502934
60.985286,28.567181
66.000878,29.309239
61.855949,23.861726
66.018149,27.106409
60.196507,22.397263
61.667633,23.502934
63.212194,24.312374
60.86903,21.193756
60.822688,22.307391
60.605391,24.166674
62.624257,22.415012
62.624257,22.415012
60.713815,25.256622
60.973733,21.54489
62.737103,23.181066
62.043342,24.224934
62.043342,24.224934
62.243138,25.553778
66.644918,27.56102
60.884394,21.560192
61.667633,23.502934
64.224343,27.099479
63.237562,27.096079
60.985286,28.567181
62.3257,29.022483
62.670665,24.166341
61.425991,24.842231
62.666589,23.97146
65.294239,25.603056
61.521104,25.211565
60.973733,21.54489
60.756803,23.051799
62.950217,24.730687
62.045518,21.353247
60.985286,28.567181
61.964004,24.804312
60.899287,25.799303
60.628357,25.626682
60.712962,21.772858
61.886179,25.760818
62.246614,25.938469
61.398923,23.533046
61.232816,24.110368
60.76207,23.234815
60.36463,26.362689
60.899287,25.799303
60.531913,25.084225
62.235926,24.976968
62.866327,25.13021
60.695029,24.158786
62.737103,23.181066
60.899287,25.799303
61.544624,22.38697
63.118845,29.870496
62.910651,22.961449
60.899287,25.799303
63.326448,27.49553
60.572255,22.891762
62.132965,24.216732
65.814351,24.262391
60.725125,27.088506
63.580926,29.111077
60.621612,25.078905
62.707162,22.206378
62.693296,21.81717
66.624394,24.399094
62.863584,24.933889
60.899287,25.799303
63.59557,27.500204
60.994987,22.096807
61.318332,23.915667
65.645423,24.932294
62.836744,23.561087
60.973733,21.54489
61.162558,23.977377
60.822688,22.307391
60.695029,24.158786
61.261042,27.835413
63.939398,24.854994
61.639886,25.817848
62.930971,23.747103
60.712962,21.772858
66.624394,24.399094
62.164022,22.100466
61.172128,24.441315
61.578065,23.513038
63.236738,27.493994
65.914294,24.910624
60.572255,22.891762
63.212194,24.312374
62.707162,22.206378
61.228722,23.924451
63.59557,27.500204
60.637305,22.151356
64.134642,27.099159
62.243138,25.553778
65.821543,24.699335
62.246614,25.938469
60.899287,25.799303
62.815414,22.778125
60.899287,25.799303
63.122714,29.672565
60.630108,25.809328
62.507301,21.655021
67.47299,27.872756
62.725937,22.790924
62.045518,21.353247
62.315953,24.392782
63.580926,29.111077
63.409098,25.495347
62.87598,27.880962
61.846763,23.482524
62.910651,22.961449
62.322649,24.778174
62.91614,23.157745
61.578065,23.513038
62.315953,24.392782
62.319435,24.585453
61.166666,25.603333
63.49661,28.703193
62.609539,27.094049
60.822688,22.307391
62.866327,25.13021
65.294239,25.603056
62.22632,24.400524
60.723604,26.355587
65.834128,28.199809
62.581053,24.174883
60.899287,25.799303
60.16085,24.385242
65.818103,24.48083
65.64232,24.715234
63.326448,27.49553
64.845915,25.626355
60.76207,23.234815
60.899287,25.799303
60.067527,24.212959
61.975888,25.757178
62.136685,24.408215
62.315953,24.392782
63.59557,27.500204
62.80312,22.387158
61.353055,26.716478
68.707009,27.612391
65.821543,24.699335
67.47299,27.872756
62.164022,22.100466
60.601401,23.984366
62.99436,22.752261
60.381603,22.552711
62.235926,24.976968
62.866327,25.13021
61.667633,23.502934
60.721342,25.989184
63.077748,22.541876
63.235873,26.30026
60.444693,25.271066
62.246614,25.938469
60.798237,24.884617
62.863584,24.933889
60.724865,26.722037
61.344032,25.408562
60.040461,23.137743
61.505566,24.273008
62.857406,29.451915
60.90207,26.167729
61.344032,25.408562
61.172327,27.647233
62.737103,23.181066
62.707162,22.206378
62.725937,22.790924
62.670665,24.166341
61.171269,26.160642
60.621612,25.078905
60.451759,21.997063
61.256379,25.599352
61.171269,26.160642
60.994987,22.096807
62.241,25.361474
60.632902,27.819117
60.951029,23.581933
63.056492,27.688672
62.965687,27.883659
62.507301,21.655021
61.166666,25.603333
61.544624,22.38697
62.707162,22.206378
62.815414,22.778125
61.515663,24.836015
62.80312,22.387158
62.319435,24.585453
62.581053,24.174883
60.442213,25.08951
60.572255,22.891762
62.045518,21.353247
62.322649,24.778174
60.572255,22.891762
63.821743,23.441343
60.444827,21.816106
60.80352,25.251745
61.344113,28.585083
66.461671,25.762407
62.91614,23.157745
63.212194,24.312374
60.605391,24.166674
59.976003,21.351324
61.846763,23.482524
62.043342,24.224934
61.521104,25.211565
63.056492,27.688672
62.246614,25.938469
63.326448,27.49553
62.826623,23.169446
61.478416,23.14849
60.267487,25.461135
62.99436,22.752261
